CountyName,2021,2022,2023
".Merced County, California",281814,284458,290014
".Modoc County, California",8663,8571,8511
".Mono County, California",13226,13261,12978
".Monterey County, California",438390,437249,432858
".Napa County, California",137485,136206,134300
".Nevada County, California",102249,103457,102293
".Orange County, California",3185516,3161005,3151184
".Placer County, California",405889,412789,417772
".Plumas County, California",19749,19940,19351
".Riverside County, California",2422847,2453178,2473902
".Sacramento County, California",1586465,1588106,1584169
".San Benito County, California",64521,66675,67579
".San Bernardino County, California",2183239,2192882,2193656
".San Diego County, California",3296045,3274954,3276208
".San Francisco County, California",870393,811253,808437
".San Joaquin County, California",780558,788140,793229
".San Luis Obispo County, California",281879,279298,282013
".San Mateo County, California",762511,739060,729181
".Santa Barbara County, California",448244,437434,443837
".Santa Clara County, California",1931026,1886595,1870945
".Santa Cruz County, California",270462,260495,264370
".Shasta County, California",181984,181981,180930
".Sierra County, California",3228,3295,3217
".Siskiyou County, California",43991,44026,43660
".Solano County, California",452698,450350,448747
".Sonoma County, California",488281,484315,482650
".Stanislaus County, California",553217,552851,551275
".Sutter County, California",99464,99038,98503
".Tehama County, California",65682,65380,65245
".Trinity County, California",16089,16061,15781
".Tulare County, California",473891,476946,477544
".Tuolumne County, California",55374,55065,54531
".Ventura County, California",843310,839358,832605
".Yolo County, California",216291,213039,222115
".Yuba County, California",81994,83216,84310
".Adams County, Colorado",520479,523592,527575
".Alamosa County, Colorado",16377,16563,16592
".Arapahoe County, Colorado",655207,656557,655808
".Archuleta County, Colorado",13425,13798,14003
".Baca County, Colorado",3482,3487,3432
".Bent County, Colorado",5478,5337,5399
".Boulder County, Colorado",330922,327075,327468
".Broomfield County, Colorado",74484,75375,76121
".Chaffee County, Colorado",19477,19711,20223
".Cheyenne County, Colorado",1744,1716,1732
".Clear Creek County, Colorado",9393,9445,9355
".Conejos County, Colorado",7458,7578,7579
".Costilla County, Colorado",3501,3595,3603
".Crowley County, Colorado",5694,5731,5614
".Custer County, Colorado",4719,5064,5335
".Delta County, Colorado",31051,31383,31602
".Denver County, Colorado",717556,711323,713252
".Dolores County, Colorado",2332,2370,2455
".Douglas County, Colorado",360303,369825,375988
".Eagle County, Colorado",55665,55773,55285
".Elbert County, Colorado",26207,27133,27799
".El Paso County, Colorado",732342,737228,740567
".Fremont County, Colorado",48878,49234,49621
".Garfield County, Colorado",61792,62195,62271
".Gilpin County, Colorado",5824,5899,5891
".Grand County, Colorado",15748,15870,15769
".Gunnison County, Colorado",16945,17309,17267
".Hinsdale County, Colorado",788,773,775
".Huerfano County, Colorado",6827,6922,7082
".Jackson County, Colorado",1378,1357,1302
".Jefferson County, Colorado",583050,580926,576143
".Kiowa County, Colorado",1452,1446,1424
".Kit Carson County, Colorado",7066,6936,6961
".Lake County, Colorado",7404,7397,7327
".La Plata County, Colorado",55675,56187,56607
".Larimer County, Colorado",359899,362713,366778
".Las Animas County, Colorado",14482,14318,14327
".Lincoln County, Colorado",5665,5477,5510
".Logan County, Colorado",21204,21122,20823
".Mesa County, Colorado",156005,157434,158636
".Mineral County, Colorado",871,929,931
".Moffat County, Colorado",13264,13155,13177
".Montezuma County, Colorado",25883,26216,26468
".Montrose County, Colorado",42817,43230,43811
".Morgan County, Colorado",29072,28995,29239
".Otero County, Colorado",18667,18536,18303
".Ouray County, Colorado",4881,5059,5100
".Park County, Colorado",17419,17758,17939
".Phillips County, Colorado",4531,4508,4449
".Pitkin County, Colorado",17354,17350,16876
".Prowers County, Colorado",12010,11994,11854
".Pueblo County, Colorado",168325,169332,169544
".Rio Blanco County, Colorado",6524,6453,6569
".Rio Grande County, Colorado",11538,11388,11325
".Routt County, Colorado",24829,25056,25007
